Network Management Card AOS v3.3.4
Rack PDU APP v3.3.3

Date     	Time     	Name	Contact	Location	System IP
02/27/2024	05:22:38	RackPDU	Unknown	Unknown	10.30.250.14

		Metered Rack PDU   	   	   	   	   	   	
02/25/2024	15:34:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	15:24:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	15:14:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	15:04:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	14:54:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	14:44:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	14:34:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	14:24:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	14:14:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	14:04:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	13:54:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	13:44:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	13:34:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	13:24:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	13:14:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	13:04:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	12:54:43	2.6	1.2	2.6	1.3	2.6	1.2	
02/25/2024	12:44:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	12:34:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	12:24:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	12:14:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	12:04:43	2.6	1.2	2.6	1.3	2.6	1.2	
02/25/2024	11:54:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	11:44:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	11:34:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	11:24:43	2.6	1.2	2.6	1.3	2.6	1.2	
02/25/2024	11:14:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	11:04:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	10:54:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	10:44:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	10:34:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	10:24:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	10:14:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	10:04:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	09:54:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	09:44:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	09:34:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	09:24:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	09:14:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	09:04:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	08:54:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	08:44:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	08:34:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	08:24:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	08:14:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	08:04:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	07:54:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	07:44:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	07:34:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	07:24:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	07:14:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	07:04:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	06:54:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	06:44:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	06:34:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	06:24:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	06:14:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	06:04:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	05:54:42	2.6	1.2	2.6	1.3	2.6	1.2	
02/25/2024	05:44:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	05:34:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	05:24:42	2.6	1.2	2.7	1.2	2.6	1.2	
02/25/2024	05:14:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	05:04:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	04:54:42	2.6	1.2	2.6	1.3	2.6	1.2	
02/25/2024	04:44:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	04:34:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	04:24:42	2.6	1.2	2.6	1.3	2.6	1.2	
02/25/2024	04:14:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	04:04:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	03:54:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	03:44:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	03:34:42	2.6	1.2	2.6	1.3	2.6	1.2	
02/25/2024	03:24:42	2.6	1.2	2.6	1.3	2.6	1.2	
02/25/2024	03:14:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	03:04:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	02:54:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	02:44:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	02:34:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	02:24:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	02:14:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	02:04:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	01:54:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	01:44:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	01:34:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	01:24:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	01:14:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	01:04:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	00:54:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	00:44:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	00:34:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	00:24:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	00:14:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	00:04:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	23:54:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	23:44:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	23:34:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	23:24:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	23:14:42	2.6	1.2	2.7	1.2	2.6	1.2	
02/24/2024	23:04:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	22:54:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	22:44:42	2.6	1.2	2.7	1.2	2.6	1.2	
02/24/2024	22:34:42	2.6	1.2	2.7	1.2	2.6	1.2	
02/24/2024	22:24:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	22:14:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	22:04:42	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	21:54:41	2.6	1.2	2.7	1.2	2.6	1.2	
02/24/2024	21:44:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	21:34:41	2.6	1.2	2.6	1.3	2.6	1.2	
02/24/2024	21:24:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	21:14:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	21:04:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	20:54:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	20:44:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	20:34:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	20:24:41	2.6	1.2	2.6	1.3	2.6	1.2	
02/24/2024	20:14:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	20:04:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	19:54:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	19:44:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	19:34:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	19:24:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	19:14:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	19:04:41	2.6	1.2	2.6	1.3	2.6	1.2	
02/24/2024	18:54:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	18:44:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	18:34:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	18:24:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	18:14:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	18:04:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	17:54:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	17:44:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	17:34:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	17:24:41	2.6	1.2	2.6	1.2	2.6	1.2	
02/24/2024	17:14:41	2.6	1.2	2.6	1.2	2.6	1.2	
